endTime,artistName,trackName,msPlayed
2021-12-27 15:16,Lady Gaga,Always Remember Us This Way,210200
2021-12-27 15:20,Adele,Easy On Me,224694
2021-12-27 15:24,Céline Dion,Where Does My Heart Beat Now,272866
2021-12-27 15:28,Ed Sheeran,Overpass Graffiti,236906
2021-12-27 15:36,Céline Dion,It's All Coming Back to Me Now,456866
2021-12-27 15:40,Taylor Swift,Blank Space,231826
2021-12-27 15:44,Taylor Swift,Begin Again (Taylor's Version),238866
2021-12-27 15:45,Taylor Swift,Our Song,53696
2021-12-28 01:48,Taylor Swift,Tim McGraw,2163
2021-12-28 01:48,Taylor Swift,Style,1464
2021-12-28 01:52,Maren Morris,The Bones,197293
2021-12-28 01:56,Christina Perri,A Thousand Years,285120
2021-12-28 02:01,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",280000
2021-12-28 02:11,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-28 02:14,Lea Salonga,A Whole New World,160800
2021-12-28 02:17,Tape Machines,Lost You,182057
2021-12-28 02:21,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),245426
2021-12-28 02:32,Taylor Swift,Our Song,46039
2021-12-28 03:26,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",203400
2021-12-28 04:41,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",76700
2021-12-28 04:44,Shawn Mendes,Señorita,190799
2021-12-28 04:48,Taylor Swift,Red,223093
2021-12-28 04:52,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-28 04:56,Taylor Swift,willow,214706
2021-12-28 05:01,Taylor Swift,evermore (feat. Bon Iver),304106
2021-12-28 05:06,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",273666
2021-12-28 05:10,Céline Dion,I Surrender,287733
2021-12-28 05:16,Céline Dion,The Power of Love,342400
2021-12-28 05:24,Céline Dion,It's All Coming Back to Me Now,456866
2021-12-28 05:28,Céline Dion,Where Does My Heart Beat Now,272866
2021-12-28 05:39,Ed Sheeran,Shape of You,233712
2021-12-28 05:44,Céline Dion,Let's Talk About Love,312400
2021-12-28 05:49,Ed Sheeran,Perfect,263400
2021-12-28 05:52,Lea Salonga,A Whole New World,160800
2021-12-28 05:56,Ed Sheeran,Tenerife Sea,241346
2021-12-28 06:00,Shawn Mendes,Mercy,208733
2021-12-28 06:04,Alan Walker,Faded,212106
2021-12-28 06:07,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,203040
2021-12-28 06:11,Taylor Swift,Tim McGraw,232106
2021-12-28 06:14,Susan Egan,I Won't Say (I'm In Love),140333
2021-12-28 06:25,Shawn Mendes,Where Were You In The Morning?,57506
2021-12-28 06:33,Britney Spears,Oops!...I Did It Again,203737
2021-12-28 06:37,Shawn Mendes,Where Were You In The Morning?,190
2021-12-28 06:37,Taylor Swift,evermore (feat. Bon Iver),274913
2021-12-28 06:41,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,203040
2021-12-28 06:44,Adele,Easy On Me,224694
2021-12-28 06:48,Taylor Swift,Delicate,232253
2021-12-28 07:00,Taylor Swift,my tears ricochet,32391
2021-12-28 07:09,Taylor Swift,my tears ricochet,223512
2021-12-28 07:13,Maren Morris,The Bones - with Hozier,197298
2021-12-28 07:16,Lady Gaga,Always Remember Us This Way,210200
2021-12-28 07:20,Ed Sheeran,Tenerife Sea,241346
2021-12-28 07:31,Adele,All I Ask,54081
2021-12-28 07:54,Adele,All I Ask,218174
2021-12-28 07:59,Adele,Someone Like You,285240
2021-12-28 08:03,Taylor Swift,willow,214706
2021-12-28 08:19,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),52459
2021-12-28 11:15,Adele,Hello,295502
2021-12-28 11:19,Adele,Someone Like You,285240
2021-12-28 11:23,Adele,Rolling in the Deep,228093
2021-12-28 11:28,Adele,When We Were Young,290900
2021-12-28 11:32,Adele,Easy On Me,224694
2021-12-28 11:35,Adele,Chasing Pavements,210506
2021-12-28 11:39,Adele,Make You Feel My Love,212040
2021-12-28 11:43,Adele,Tired,258853
2021-12-28 11:48,Adele,Love In The Dark,285935
2021-12-28 11:52,Adele,I'll Be Waiting,241351
2021-12-28 11:58,Adele,One And Only,348226
2021-12-28 12:02,Adele,Don't You Remember,243200
2021-12-28 12:06,Adele,Set Fire to the Rain,242973
2021-12-28 12:09,Adele,Remedy,157902
2021-12-28 12:09,Adele,Water Under the Bridge,2239
2021-12-28 12:13,Adele,All I Ask,262354
2021-12-28 12:26,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-28 12:29,Camila Cabello,Living Proof,194440
2021-12-28 12:32,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",203660
2021-12-28 12:38,Taylor Swift,evermore (feat. Bon Iver),304106
2021-12-28 12:40,Adele,I'll Be Waiting,165295
2021-12-28 12:41,Adele,I'll Be Waiting,72449
2021-12-28 12:45,Adele,Easy On Me,224694
2021-12-28 12:50,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-28 12:53,Shawn Mendes,Señorita,190799
2021-12-28 13:00,Lata Mangeshkar,Mere Naina Sawan Bhadon- Lata Mangeshkar,408195
2021-12-28 13:05,Adele,Love In The Dark,285935
2021-12-28 13:08,Taylor Swift,willow,214706
2021-12-28 13:11,Lea Salonga,A Whole New World,160800
2021-12-28 13:15,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-28 13:18,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",203660
2021-12-28 13:23,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",248100
2021-12-28 13:24,Céline Dion,I Surrender,98988
2021-12-28 13:27,Céline Dion,I Surrender,191841
2021-12-28 13:32,Adele,Someone Like You,285240
2021-12-28 13:36,Adele,Easy On Me,224694
2021-12-28 13:41,Adele,All I Ask,271800
2021-12-28 13:54,Lady Gaga,Always Remember Us This Way,195703
2021-12-28 13:57,Lady Gaga,Always Remember Us This Way,14985
2021-12-28 14:02,Adele,Love In The Dark,285935
2021-12-28 14:06,Camila Cabello,Shameless,219742
