Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
23174274,"Glass Sword (Red Queen, #2)",Victoria Aveyard,0062310666,9780062310668.0,4,3.82,HarperTeen,444,2016.0,2016.0,2020-09-02,2020-09-01,"gave_up, unfinished_series, read",1,Red Queen
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,,,5,4.03,HarperTeen,388,2015.0,2015.0,2020-09-01,2020-08-31,"unfinished_series, read",1,Red Queen
13612965,"The Bronze Key (Magisterium,  #3)",Holly Black,0545522315,9780545522311.0,5,4.09,Scholastic,249,2016.0,2016.0,2020-11-08,2020-11-08,"favorites, read",1,Magisterium
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,0765302306,9780765302304.0,5,4.4,Tor Books,783,2009.0,2009.0,2020-08-08,2020-07-08,"books_worth_rereading, favorites, read",1,The Wheel of Time
18635016,"The One (The Selection, #3)",Kiera Cass,0062059998,9780062059994.0,4,4.17,HarperTeen,323,2014.0,2014.0,2020-08-31,2020-08-30,"favorites, read",1,The Selection
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,0345539788,9780345539786.0,5,4.26,Del Rey,382,2014.0,2014.0,2020-09-29,2020-09-24,"books_worth_rereading, favorites, read",1,Red Rising Saga
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,,,5,4.3,Self-published,688,2009.0,2009.0,2020-06-27,2020-06-14,"books_worth_rereading, favorites, read",1,Warbreaker
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,0765326361,9780765326362.0,5,4.75,Tor Books,1087,2014.0,2014.0,2020-06-14,2020-05-25,"books_worth_rereading, favorites, read",1,The Stormlight Archive
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,0765326353,9780765326355.0,5,4.65,Tor Books,1007,2010.0,2010.0,2020-06-09,2020-02-26,"books_worth_rereading, favorites, read",1,The Stormlight Archive
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,0061020680,9780061020681.0,5,4.24,Harpertorch,243,2001.0,1987.0,2020-12-01,2020-11-27,read,1,"Discworld, #4; Death"
26114421,"The Dark Talent (Alcatraz, #5)",Brandon Sanderson,0765381400,9780765381408.0,5,4.11,Starscape,281,2016.0,2016.0,2020-11-25,2020-11-25,read,1,Alcatraz
7740659,"Alcatraz Versus the Shattered Lens (Alcatraz, #4)",Brandon Sanderson,0439925576,9780439925570.0,4,4.13,Scholastic Press,294,2010.0,2010.0,2020-11-25,2020-11-24,read,1,Alcatraz
53439886,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,,9780316540827.0,4,4.23,"Little, Brown Books for Young Readers",200,2020.0,2020.0,2020-11-25,2020-11-05,read,1,The Folk of the Air
6366110,"Alcatraz Versus the Knights of Crystallia (Alcatraz, #3)",Brandon Sanderson,043992555X,9780439925556.0,4,4.13,Scholastic Press,299,2009.0,2009.0,2020-11-24,2020-11-23,read,1,Alcatraz
3485562,"Alcatraz Versus the Scrivener's Bones (Alcatraz, #2)",Brandon Sanderson,0439925533,9780439925532.0,5,4.13,Scholastic Press,322,2008.0,2008.0,2020-11-23,2020-11-16,read,1,Alcatraz
17250966,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,,,5,4.61,Tor Books,1213,2020.0,2020.0,2020-11-21,2020-05-25,read,1,The Stormlight Archive
623976,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,0439925509,9780439925501.0,4,3.91,Scholastic Press,308,2007.0,2007.0,2020-11-16,2020-11-16,read,1,Alcatraz
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,,,5,4.51,Dragonsteel Entertainment,171,2020.0,2020.0,2020-11-10,2020-11-07,read,1,The Stormlight Archive
13612970,"The Golden Tower (Magisterium, #5)",Holly Black,,9780545522427.0,4,4.03,Scholastic Inc.,256,2018.0,2018.0,2020-11-09,2020-11-09,read,1,Magisterium
13612968,"The Silver Mask (Magisterium, #4)",Holly Black,,9780545522397.0,4,4.07,Scholastic Press,200,2017.0,2017.0,2020-11-09,2020-11-08,read,1,Magisterium
13612962,"The Copper Gauntlet (Magisterium, #2)",Holly Black,0545522285,9780545522281.0,5,4.12,Scholastic Press,264,2015.0,2015.0,2020-11-08,2020-11-07,read,1,Magisterium
20578940,"The Iron Trial (Magisterium, #1)",Holly Black,0545522250,9780545522250.0,5,3.95,Scholastic Press,295,2014.0,2014.0,2020-11-07,2020-11-05,read,1,Magisterium
36111098,"The Light of All That Falls (The Licanius Trilogy, #3)",James Islington,,9780356507835.0,5,4.41,Orbit,864,2019.0,2019.0,2020-10-30,2020-10-28,read,1,The Licanius Trilogy
22443261,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson,,,5,4.24,Tor UK,353,2014.0,2013.0,2020-10-30,2020-07-05,read,1,The Rithmatist
32498052,"An Echo of Things to Come (The Licanius Trilogy, #2)",James Islington,0316274119,9780316274111.0,5,4.25,Orbit,752,2017.0,2017.0,2020-10-28,2020-10-25,read,1,The Licanius Trilogy
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James Islington,099258020X,9780992580209.0,5,4.14,Aslaradis Publishing,602,2014.0,2014.0,2020-10-25,2020-10-21,read,1,The Licanius Trilogy
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,,,4,4.25,Spectra,675,2002.0,1996.0,2020-10-21,2020-09-21,read,1,Farseer Trilogy
