Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,,9780765311788,5,4.47,Tor Books,541.0,2006.0,2006.0,2020-03-30,2020-03-26,"books_worth_rereading, favorites, books_i_own, read",2
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,1423101472,9781423101475,5,4.53,Disney-Hyperion Books,381.0,2009.0,2009.0,,2020-02-26,"books_i_own, read",1
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,075640407X,9780756404079,5,4.52,Penguin Group DAW,662.0,2007.0,2007.0,2020-03-24,2020-02-27,"books_worth_rereading, favorites, books_i_own, read",2
35180922,The Mill on the Floss,George Eliot,8175993839,9788175993839,5,3.81,Prakash Book Depot,560.0,2015.0,1860.0,,2021-01-01,"books_i_own, read",1
10210,Jane Eyre,Charlotte Brontë,0142437204,9780142437209,5,4.14,Penguin,532.0,2003.0,1847.0,,2020-02-28,"classics_read, books_i_own, read",1
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,0765316897,9780765316899,5,4.51,Tor Books,572.0,2008.0,2008.0,2020-04-08,2020-03-30,"books_worth_rereading, favorites, books_i_own, read",1
19005287,In Search of Schrödinger's Cat: Quantum Physics and Reality,John Gribbin,,,5,4.05,Transworld Digital,400.0,2012.0,1984.0,,2021-01-01,"science, books_worth_rereading, favorites, books_i_own, read",1
10852065,"The Hope of Elantris (Elantris, #1.5)",Brandon Sanderson,,,4,3.69,Brandon Sanderson,25.0,2006.0,2006.0,,2021-03-19,read,1
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,1423146727,9781423146728,5,4.55,Disney-Hyperion Books,597.0,2013.0,2013.0,,2021-03-08,read,1
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,055358202X,9780553582024,5,4.15,Bantam Books,1061.0,2011.0,2005.0,2021-03-27,2020-04-02,"books_i_own, read",1
14699,The Elegant Universe,Brian Greene,009928992X,9780099289920,4,4.08,Vintage,464.0,2000.0,1999.0,,2021-01-01,"science, books_i_own, read",1
6969,Emma,Jane Austen,0141439580,9780141439587,5,4.04,Penguin Books,474.0,2003.0,1815.0,,2020-02-28,"classics_read, books_i_own, read",1
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,0618346252,9780618346257,5,4.38,Houghton Mifflin Harcourt,398.0,2003.0,1954.0,,2020-02-26,"classics_read, books_i_own, read",1
818560,A Brief History Of Time: From the Big Bang To Black Holes,Stephen Hawking,0553175211,9780553175219,5,4.2,Bantam,220.0,1998.0,1988.0,,2021-01-01,"science, books_i_own, read",1
55030,Cosmos,Carl Sagan,0375508325,9780375508325,5,4.38,Random House,365.0,2002.0,1980.0,,2021-01-01,"science, books_i_own, read",1
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,,,5,4.61,Orion Children's Books,561.0,2016.0,2016.0,2021-03-13,2021-03-12,"favorites, books_worth_rereading, books_i_own, read",1
40277241,Brief Answers to the Big Questions,Stephen Hawking,1984819194,9781984819192,4,4.29,Bantam,256.0,2018.0,2018.0,,2021-01-01,"science, books_i_own, read",1
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,1416914293,9781416914297,4,4.13,Margaret K. McElderry Books,453.0,2008.0,2008.0,2020-10-05,2020-04-11,"books_i_own, read",1
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,,5,4.33,Bantam,1125.0,2011.0,2011.0,2021-04-07,2020-04-11,"books_i_own, read",1
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,1484724917,9781423146735,5,4.43,Disney-Hyperion Books,516.0,2014.0,2014.0,,2021-03-08,read,1
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,0451527747,9780451527745,5,4.07,Penguin Group (USA),239.0,2000.0,1871.0,,2020-10-17,"books_i_own, read",1
130346,Bronte: Wuthering Heights (Macmillan Master Guides),Hilda D. Spear,0333372867,9780333372869,4,4.14,MacMillan,96.0,1985.0,1985.0,,2020-02-26,"classics_read, books_i_own, read",1
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,0553381695,9780553381696,5,4.41,Bantam,969.0,2002.0,1998.0,2020-12-13,2020-02-26,"books_i_own, read",1
28006109,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,1368001440,9781368001441,5,4.36,Disney-Hyperion,439.0,2019.0,2019.0,2020-05-09,2020-02-26,"books_i_own, read",1
7541858,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,,,4,4.08,Margaret K. McElderry Books,485.0,2009.0,2007.0,2020-10-04,2020-02-26,"books_i_own, read",1
45032,Mansfield Park,Jane Austen,,,5,3.86,Penguin Books,488.0,2003.0,1814.0,,2020-02-26,"classics_read, books_i_own, read",1
2623,Great Expectations,Charles Dickens,0192833596,9780192833594,5,3.79,Oxford University Press,544.0,1998.0,1860.0,,2020-02-26,"classics_read, books_worth_rereading, favorites, books_i_own, read",1
11133581,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,,,5,4.54,Voyager,1218.0,2011.0,2000.0,2021-01-29,2020-02-26,"books_i_own, read",1
