Book Id,Title,Author,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
48717744,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,9.78E+12,5,4.53,Disney-Hyperion,410,2020,2020,10/08/2020,04/24/2020,read,1,The Trials of Apollo
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,9.78E+12,5,4.43,Del Rey,430,2015,2015,09/30/2020,09/29/2020,read,1,Red Rising Saga
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,9.78E+12,5,4.16,Spectra Books,435,1996,1995,09/21/2020,04/11/2020,read,1,Farseer Trilogy
16248068,"The Elite (The Selection, #2)",Kiera Cass,9.78E+12,3,3.98,HarperTeen,336,2013,2013,08/30/2020,08/30/2020,read,1,The Selection
15820748,"The Prince (The Selection, #0.5)",Kiera Cass,9.78E+12,5,3.92,HarperTeen,64,2013,2013,08/31/2020,08/31/2020,read,1,The Selection
10507293,"The Selection (The Selection, #1)",Kiera Cass,9.78E+12,4,4.11,HarperTeen,336,2012,2012,08/30/2020,08/29/2020,read,1,The Selection
91477,"Fool Moon (The Dresden Files, #2)",Jim Butcher,9.78E+12,4,3.99,Roc,401,2001,2001,08/29/2020,08/25/2020,read,1,The Dresden Files
23397921,Sixth of the Dusk,Brandon Sanderson,,4,4.24,"Dragonsteel Entertainment, LLC",59,2014,2014,08/27/2020,08/21/2020,read,1,Cosmere Novella
40772063,"The Lost Sisters (The Folk of the Air, #1.5)",Holly Black,9.78E+12,4,3.51,NOVL,50,2018,2018,08/27/2020,08/26/2020,read,1,The Folk of the Air
187065,"New Spring (The Wheel of Time, #0)",Robert Jordan,9.78E+12,4,4.03,Orbit,423,2004,2004,08/26/2020,07/08/2020,read,1,The Wheel of Time
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,9.78E+12,5,3.98,Penguin ROC,355,2000,2000,08/25/2020,08/25/2020,read,1,The Dresden Files
21411388,Shadows for Silence in the Forests of Hell,Brandon Sanderson,,5,4.2,Tor Books,50,2013,2013,08/25/2020,08/21/2020,read,1,Cosmere Novella
37640636,"Lies of the Beholder (Legion, #3)",Brandon Sanderson,9.78E+12,5,4.13,Subterranean Press,148,2018,2018,08/22/2020,07/05/2020,read,1,Legion
20886354,"Skin Deep (Legion, #2)",Brandon Sanderson,,5,4.13,Subterranean Press ,208,2014,2014,08/22/2020,07/05/2020,read,1,Legion
13452375,"Legion (Legion, #1)",Brandon Sanderson,9.78E+12,5,4.14,Subterranean Press,88,2012,2012,08/22/2020,07/05/2020,read,1,Legion
